University Rank,Name of University,Location,No of student,No of student per staff,International Student,Female:Male Ratio,OverAll Score,Teaching Score,Research Score,Citations Score,Industry Income Score,International Outlook Score
147,Rice University,United States,"7,068",0.0379637618636755,28%,43 : 57,57.9,0.4194711538461538,0.3499458288190683,0.842741935483871,0.1204437400950871,0.7149532710280373
148,University of Colorado Boulder,United States,"34,928",0.0672993960310612,8%,45 : 55,57.8,0.4086538461538461,0.4214517876489707,0.8538306451612903,0.1220285261489698,0.3679906542056074
148,Ulm University,Germany,"10,271",0.1113028472821397,13%,51 : 49,57.8,0.3605769230769231,0.3661971830985916,0.8921370967741935,0.6450079239302693,0.4906542056074767
148,Uppsala University,Sweden,"25,548",0.0642795513373598,17%,62 : 38,57.8,0.3125,0.5232936078006502,0.75,0.5483359746434231,0.683411214953271
151,University of Florida,United States,"46,807",0.0677308024158757,8%,56 : 44,57.7,0.5216346153846154,0.5557963163596967,0.6391129032258065,0.2297939778129952,0.3189252336448598
151,Penn State (Main campus),United States,"46,863",0.0586712683347713,16%,47 : 53,57.7,0.4350961538461538,0.5027085590465872,0.75,0.0744849445324881,0.3995327102803738
151,Tufts University,United States,"11,399",0.0414150129421915,16%,56 : 44,57.7,0.4266826923076923,0.3174431202600217,0.9213709677419356,0.1030110935023771,0.4357476635514019
154,University of Rochester,United States,"10,364",0.0314926660914581,36%,50 : 50,57.6,0.3653846153846154,0.3586132177681473,0.8689516129032258,0.1965134706814579,0.6974299065420559
155,KTH Royal Institute of Technology,Sweden,"13,329",0.0690250215703192,20%,34 : 66,57.5,0.3834134615384615,0.5027085590465872,0.6814516129032259,0.4944532488114104,0.7827102803738317
156,Arizona State University (Tempe),United States,"50,027",0.0828300258843831,17%,45 : 55,57.4,0.3990384615384614,0.4387865655471289,0.7943548387096774,0.05229793977813,0.5654205607476634
156,Technical University of Berlin,Germany,"20,243",0.2057808455565142,27%,35 : 65,57.4,0.4471153846153846,0.5232936078006502,0.6169354838709677,0.8827258320126783,0.6273364485981308
